Article,1author,add1,add1wt,add2,add2wt,add3,add3wt,peomw,peowt,polymw,temp,conduct
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,44.5,1.58489E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,32.8,2.51189E-08
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,100000,99.35446547,100000,25.5,0.00000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,69.5,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,59.2,5.01187E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,49.6,2.51189E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,44.5,1.25893E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,32.8,3.16228E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,25.5,1.58489E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,69.5,1.99526E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,59.2,7.94328E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,49.6,3.16228E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,44.5,1.25893E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,32.8,5.01187E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,25.5,1.99526E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,69.5,0.000398107
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,59.2,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,49.6,0.000125893
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,44.5,6.30957E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,32.8,2.51189E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,25.5,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,69.5,0.000794328
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,59.2,0.000630957
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,49.6,0.000316228
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,44.5,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,32.8,7.94328E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,25.5,3.98107E-05
