Article,1author,add1,add1wt,add2,add2wt,add3,add3wt,peomw,peowt,polymw,temp rat,temp,conduct
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,2.225,44.5,1.26E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,1.64,32.8,3.16E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,100000,99.35224226,100000,1.275,25.5,1.58E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,3.475,69.5,2.00E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,2.96,59.2,7.94E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,2.48,49.6,3.16E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,2.225,44.5,1.26E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,1.64,32.8,5.01E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,100000,99.35076017,100000,1.275,25.5,2.00E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,3.475,69.5,0.000398107
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,2.96,59.2,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,2.48,49.6,0.000125893
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,2.225,44.5,6.31E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,1.64,32.8,2.51E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,100000,99.34829012,100000,1.275,25.5,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,3.475,69.5,0.000794328
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,2.96,59.2,0.000630957
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,2.48,49.6,0.000316228
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,2.225,44.5,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,1.64,32.8,7.94E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,100000,99.33841115,100000,1.275,25.5,3.98E-05
